date,KRI4_chargebacks
2026-04-01,1137
2026-04-02,1173
2026-04-03,1178
2026-04-04,1188
2026-04-05,1189
2026-04-06,1189
2026-04-07,1189
2026-04-08,1203
2026-04-09,1208
2026-04-10,1212
2026-04-11,1217
2026-04-12,1219
2026-04-13,1223
2026-04-14,1230
2026-04-15,1237
2026-04-16,1245
2026-04-17,1251
2026-04-18,1252
2026-04-19,1252
2026-04-20,1276
2026-04-21,1279
2026-04-22,1282
2026-04-23,1292
2026-04-24,1300
2026-04-25,1305
2026-04-26,1314
2026-04-27,1316
2026-04-28,1329
2026-04-29,1335
2026-04-30,1344
2026-05-01,1359
2026-05-02,1369
2026-05-03,1379
2026-05-04,1380
2026-05-05,1389
2026-05-06,1397
2026-05-07,1407
2026-05-08,1422
2026-05-09,1433
2026-05-10,1434
2026-05-11,1438
2026-05-12,1453
2026-05-13,1461
2026-05-14,1482
2026-05-15,1490
2026-05-16,1518
2026-05-17,1521
2026-05-18,1522
2026-05-19,1573
2026-05-20,1614
2026-05-21,1626
2026-05-22,1685
2026-05-23,1688
2026-05-24,1688
2026-05-25,1689
2026-05-26,1689
2026-05-27,1797
2026-05-28,1818
2026-05-29,1827
2026-05-30,1851
2026-05-31,1861
2026-06-01,1867
2026-06-02,1890
2026-06-03,1911
2026-06-04,1929
2026-06-05,1959
2026-06-06,1972
2026-06-07,1978
2026-06-08,1981
2026-06-09,2002
2026-06-10,2033
2026-06-11,2060
2026-06-12,2074
2026-06-13,2081
2026-06-14,2087
2026-06-15,2092
2026-06-16,2117
2026-06-17,2126
2026-06-18,2142
2026-06-19,2152
2026-06-20,2168
2026-06-21,2172
2026-06-22,2173
2026-06-23,2181
2026-06-24,2191
2026-06-25,528
2026-06-26,550
2026-06-27,507
2026-06-28,510
2026-06-29,513
2026-06-30,410
2026-07-01,414
2026-07-02,422
2026-07-03,428
2026-07-04,179
2026-07-05,183
2026-07-06,192
2026-07-07,193
2026-07-08,194
2026-07-09,197
2026-07-10,203
2026-07-11,205
2026-07-12,206
2026-07-13,207
2026-07-14,207
2026-07-15,209
2026-07-16,158
2026-07-17,158
2026-07-18,161
2026-07-19,164
2026-07-20,164
2026-07-21,169
2026-07-22,172
2026-07-23,173
2026-07-24,174
2026-07-25,175
2026-07-26,175
2026-07-27,176
2026-07-28,177
2026-07-29,179
2026-07-30,182
2026-07-31,182
2026-08-01,183
2026-08-02,183
2026-08-03,184
2026-08-04,186
2026-08-05,187
2026-08-06,189
2026-08-07,189
2026-08-08,189
2026-08-09,189
2026-08-10,189
2026-08-11,189
2026-08-12,190
2026-08-13,193
2026-08-14,193
2026-08-15,193
2026-08-16,194
2026-08-17,194
2026-08-18,196
2026-08-19,200
2026-08-20,201
2026-08-21,201
2026-08-22,203
2026-08-23,205
2026-08-24,207
2026-08-25,208
2026-08-26,209
