date,KRI1,KRI2,KRI3_waiting_refunds_after_14_days,KRI4_chargebacks,KRI5_historical_refund_operations,Available_KRI_Count
2026-07-27,1044.0,687953.0,19.0,176.0,1459,5
2026-08-07,837.0,688093.0,9.0,189.0,1531,5
2026-08-14,603.0,688216.0,38.0,193.0,456,5
2026-08-19,754.0,688383.0,40.0,200.0,454,5
2026-08-20,1038.0,688408.0,44.0,201.0,454,5
2026-08-21,1113.0,688477.0,47.0,201.0,454,5
2026-08-22,642.0,688497.0,46.0,203.0,454,5
2026-08-23,638.0,688515.0,42.0,205.0,454,5
2026-08-24,687.0,688516.0,43.0,207.0,454,5
2026-08-25,692.0,688580.0,48.0,208.0,454,5
2026-08-26,600.0,688717.0,33.0,209.0,451,5
