date,KRI1,KRI2,KRI3_waiting_refunds_after_14_days,KRI4_chargebacks,KRI5_historical_refund_operations,Available_KRI_Count
2026-04-01,,,,1137.0,9,2
2026-04-02,,,,1173.0,10,2
2026-04-03,,,,1178.0,10,2
2026-04-04,,,,1188.0,9,2
2026-04-05,,,,1189.0,9,2
2026-04-06,,,,1189.0,9,2
2026-04-07,,,,1189.0,9,2
2026-04-08,,,,1203.0,9,2
2026-04-09,,,,1208.0,9,2
2026-04-10,,,,1212.0,9,2
2026-04-11,,,,1217.0,9,2
2026-04-12,,,,1219.0,9,2
2026-04-13,,,,1223.0,9,2
2026-04-14,,,,1230.0,9,2
2026-04-15,,,,1237.0,9,2
2026-04-16,,,,1245.0,12,2
2026-04-17,,,,1251.0,12,2
2026-04-18,,,,1252.0,12,2
2026-04-19,,,,1252.0,9,2
2026-04-20,,,,1276.0,9,2
2026-04-21,,,,1279.0,49,2
2026-04-22,,,,1282.0,204,2
2026-04-23,,,,1292.0,207,2
2026-04-24,,,,1300.0,148,2
2026-04-25,,,,1305.0,6,2
2026-04-26,,,,1314.0,6,2
2026-04-27,,,,1316.0,6,2
2026-04-28,,,,1329.0,6,2
2026-04-29,,,,1335.0,10,2
2026-04-30,,,,1344.0,11,2
2026-05-01,,,,1359.0,16,2
2026-05-02,,,,1369.0,9,2
2026-05-03,,,,1379.0,9,2
2026-05-04,,,,1380.0,10,2
2026-05-05,,,,1389.0,12,2
2026-05-06,,,,1397.0,12,2
2026-05-07,,,,1407.0,12,2
2026-05-08,,,,1422.0,6,2
2026-05-09,,,,1433.0,6,2
2026-05-10,,,,1434.0,6,2
2026-05-11,,,,1438.0,6,2
2026-05-12,,,,1453.0,6,2
2026-05-13,,,,1461.0,6,2
2026-05-14,,,,1482.0,6,2
2026-05-15,,,,1490.0,6,2
2026-05-16,,,,1518.0,6,2
2026-05-17,,,,1521.0,6,2
2026-05-18,,,,1522.0,6,2
2026-05-19,,,,1573.0,142,2
2026-05-20,,,,1614.0,156,2
2026-05-21,,,,1626.0,166,2
2026-05-22,,,,1685.0,184,2
2026-05-23,,,,1688.0,186,2
2026-05-24,,,,1688.0,186,2
2026-05-25,,,,1689.0,245,2
2026-05-26,,,,1689.0,323,2
2026-05-27,,,,1797.0,167,2
2026-05-28,,,,1818.0,168,2
2026-05-29,,,,1827.0,153,2
2026-05-30,,,,1851.0,151,2
2026-05-31,,,,1861.0,143,2
2026-06-01,,,,1867.0,143,2
2026-06-02,,,,1890.0,143,2
2026-06-03,,,,1911.0,143,2
2026-06-04,,,,1929.0,144,2
2026-06-05,,,,1959.0,148,2
2026-06-06,,,,1972.0,151,2
